file_name,iso,analog_gain,digital_gain,red_gain,blue_gain,shutter_speed (microseconds)
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_1_2025-12-19_124833_.jpg,0,1.0,1.05078125,3.703125,1.171875,9714
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_2_2025-12-19_124838_.jpg,0,1.0,1.015625,3.69140625,1.1875,9699
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_3_2025-12-19_124843_.jpg,0,1.0,1.06640625,3.703125,1.171875,9198
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_4_2025-12-19_124848_.jpg,0,1.0,1.03515625,3.69140625,1.1875,9183
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_5_2025-12-19_124852_.jpg,0,1.0,1.04296875,3.703125,1.171875,9122
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_6_2025-12-19_124857_.jpg,0,1.0,0.98828125,3.703125,1.171875,9365
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_7_2025-12-19_124902_.jpg,0,1.0,1.02734375,3.69140625,1.1875,9866
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_8_2025-12-19_124907_.jpg,0,1.0,1.10546875,3.69140625,1.1875,9502
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_9_2025-12-19_124912_.jpg,0,1.0,0.9609375,3.703125,1.171875,9411
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_10_2025-12-19_124917_.jpg,0,1.0,0.953125,3.703125,1.171875,9471
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_11_2025-12-19_124921_.jpg,0,1.0,0.953125,3.703125,1.171875,9031
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_12_2025-12-19_124926_.jpg,0,1.0,0.9453125,3.703125,1.171875,8910
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_13_2025-12-19_124931_.jpg,0,1.0,0.94921875,3.703125,1.171875,8865
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_14_2025-12-19_124936_.jpg,0,1.0,0.921875,3.703125,1.171875,9122
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_15_2025-12-19_124941_.jpg,0,1.0,0.93359375,3.703125,1.171875,9502
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_16_2025-12-19_124945_.jpg,0,1.0,1.0,3.703125,1.171875,8956
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_17_2025-12-19_124950_.jpg,0,1.0,1.0390625,3.703125,1.171875,9395
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_18_2025-12-19_124955_.jpg,0,1.0,1.0,3.703125,1.171875,9517
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_19_2025-12-19_125000_.jpg,0,1.0,0.96875,3.703125,1.171875,8940
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_20_2025-12-19_125005_.jpg,0,1.0,0.94921875,3.703125,1.171875,8804
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_21_2025-12-19_125010_.jpg,0,1.0,0.9375,3.703125,1.171875,8804
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_22_2025-12-19_125014_.jpg,0,1.0,0.92578125,3.703125,1.171875,9031
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_23_2025-12-19_125019_.jpg,0,1.0,0.93359375,3.703125,1.171875,9411
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_24_2025-12-19_125024_.jpg,0,1.0,0.95703125,3.703125,1.171875,8956
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_25_2025-12-19_125029_.jpg,0,1.0,0.98046875,3.703125,1.171875,9183
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_26_2025-12-19_125034_.jpg,0,1.0,0.94140625,3.703125,1.171875,9426
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_27_2025-12-19_125038_.jpg,0,1.0,0.95703125,3.703125,1.171875,9047
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_28_2025-12-19_125043_.jpg,0,1.0,0.953125,3.703125,1.171875,8865
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_29_2025-12-19_125048_.jpg,0,1.0,0.94140625,3.703125,1.171875,8789
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_30_2025-12-19_125053_.jpg,0,1.0,0.9453125,3.703125,1.171875,9001
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_31_2025-12-19_125058_.jpg,0,1.0,0.94140625,3.703125,1.171875,9274
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_32_2025-12-19_125102_.jpg,0,1.0,0.9609375,3.703125,1.171875,8698
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_33_2025-12-19_125107_.jpg,0,1.0,0.97265625,3.703125,1.171875,9229
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_34_2025-12-19_125112_.jpg,0,1.0,0.9375,3.703125,1.171875,9547
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_35_2025-12-19_125117_.jpg,0,1.0,0.9609375,3.703125,1.171875,9092
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_36_2025-12-19_125122_.jpg,0,1.0,0.9609375,3.703125,1.171875,8834
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_37_2025-12-19_125126_.jpg,0,1.0,0.94921875,3.703125,1.171875,8758
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_38_2025-12-19_125131_.jpg,0,1.0,0.93359375,3.703125,1.171875,9001
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_39_2025-12-19_125136_.jpg,0,1.0,0.93359375,3.703125,1.171875,9289
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_40_2025-12-19_125141_.jpg,0,1.0,1.015625,3.703125,1.171875,8804
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_41_2025-12-19_125146_.jpg,0,1.0,1.015625,3.703125,1.171875,9335
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_42_2025-12-19_125150_.jpg,0,1.0,0.98046875,3.703125,1.171875,9577
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_43_2025-12-19_125155_.jpg,0,1.0,1.05078125,3.703125,1.171875,9122
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_44_2025-12-19_125200_.jpg,0,1.0,1.0390625,3.703125,1.171875,9107
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_45_2025-12-19_125205_.jpg,0,1.0,1.07421875,3.703125,1.171875,9138
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_46_2025-12-19_125210_.jpg,0,1.0,0.98828125,3.703125,1.171875,9304
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_47_2025-12-19_125214_.jpg,0,1.0,0.9921875,3.703125,1.171875,9502
/home/pi/Desktop/Code_Pictures_2025-12-19_124823/well_48_2025-12-19_125219_.jpg,0,1.0,1.0546875,3.703125,1.171875,8986
